"quarteryear","Unhealthy Sensitive PM","Unhealthy PM","Very Unhealthy PM","Hazardous PM","Unhealthy Sensitive Ozone","Unhealthy Ozone","Very Unhealthy Ozone","Hazardous Ozone"
"2000 Q1",8,0,0,0,0,0,0,0
"2000 Q2",1,0,0,0,9,9,5,0
"2000 Q3",1,0,0,0,17,5,0,0
"2000 Q4",5,0,0,0,1,0,0,0
"2001 Q1",6,2,0,1,0,0,0,0
"2001 Q2",3,0,0,0,11,10,5,0
"2001 Q3",1,1,0,0,21,9,3,0
"2001 Q4",4,0,0,0,3,0,0,0
"2002 Q1",1,0,0,0,0,0,0,0
"2002 Q2",0,1,0,0,16,7,3,0
"2002 Q3",1,1,0,0,20,15,11,0
"2002 Q4",4,0,0,0,0,0,0,0
"2003 Q1",9,0,0,0,0,0,0,0
"2003 Q2",2,0,0,0,8,5,2,0
"2003 Q3",4,0,0,0,20,6,0,0
"2003 Q4",6,0,0,0,0,0,0,0
"2004 Q1",0,0,0,0,0,0,0,0
"2004 Q2",2,3,0,0,15,4,0,0
"2004 Q3",1,0,0,0,18,4,0,0
"2004 Q4",2,0,0,0,0,0,0,0
"2005 Q1",3,0,0,0,0,0,0,0
"2005 Q2",0,0,0,0,10,6,0,0
"2005 Q3",2,0,0,0,20,14,1,0
"2005 Q4",3,1,0,0,1,0,0,0
"2006 Q1",3,1,0,0,1,0,0,0
"2006 Q2",1,0,0,0,11,6,0,0
"2006 Q3",2,4,0,0,19,5,2,0
"2006 Q4",2,0,0,0,0,0,0,0
"2007 Q1",0,0,0,0,0,0,0,0
"2007 Q2",0,1,0,0,13,7,2,0
"2007 Q3",1,0,0,0,22,6,1,0
"2007 Q4",3,0,0,0,0,0,0,0
"2008 Q1",5,0,0,0,0,0,0,0
"2008 Q2",1,0,1,0,14,4,0,0
"2008 Q3",3,0,0,0,13,6,1,0
"2008 Q4",0,0,0,0,0,0,0,0
"2009 Q1",4,1,0,0,0,0,0,0
"2009 Q2",0,1,0,0,7,0,0,0
"2009 Q3",0,0,0,0,7,0,0,0
"2009 Q4",2,0,0,0,0,0,0,0
"2010 Q1",2,0,0,0,0,0,0,0
"2010 Q2",0,0,0,0,16,1,0,0
"2010 Q3",0,0,0,0,13,10,0,0
"2010 Q4",4,1,0,0,0,0,0,0
"2011 Q1",1,1,0,0,0,0,0,0
"2011 Q2",0,0,0,0,4,5,0,0
"2011 Q3",0,0,0,0,14,5,0,0
"2011 Q4",0,1,0,0,0,0,0,0
"2012 Q1",1,0,0,0,0,0,0,0
"2012 Q2",0,0,0,0,10,4,0,0
"2012 Q3",0,0,0,0,20,5,0,0
"2012 Q4",3,0,0,0,0,0,0,0
"2013 Q1",4,0,0,0,0,0,0,0
"2013 Q2",0,0,0,0,8,0,0,0
"2013 Q3",0,0,0,0,4,0,0,0
"2013 Q4",3,0,0,0,0,0,0,0
"2014 Q1",5,0,0,0,0,0,0,0
"2014 Q2",0,0,0,0,3,0,0,0
"2014 Q3",0,0,0,0,7,1,0,0
"2014 Q4",3,1,0,0,0,0,0,0
"2015 Q1",2,0,0,0,0,0,0,0
"2015 Q2",0,0,0,0,2,1,0,0
"2015 Q3",0,0,0,0,21,1,0,0
"2015 Q4",3,0,0,0,0,0,0,0
"2016 Q1",0,0,0,0,0,0,0,0
"2016 Q2",0,0,0,0,7,1,0,0
"2016 Q3",0,0,0,0,9,1,0,0
"2016 Q4",0,0,0,0,0,0,0,0
"2017 Q1",3,0,0,0,0,0,0,0
"2017 Q2",0,0,0,0,6,2,0,0
"2017 Q3",0,0,0,0,6,0,0,0
"2017 Q4",4,0,0,0,0,0,0,0
"2018 Q1",0,0,0,0,0,0,0,0
"2018 Q2",0,0,0,0,7,0,0,0
"2018 Q3",0,0,0,0,7,3,0,0
"2018 Q4",2,0,0,0,0,0,0,0
"2019 Q1",3,0,0,0,0,0,0,0
"2019 Q2",0,0,0,0,3,0,0,0
"2019 Q3",0,0,0,0,8,0,0,0
"2019 Q4",2,0,0,0,0,0,0,0
"2020 Q1",1,0,0,0,0,0,0,0
"2020 Q2",0,0,0,0,1,0,0,0
"2020 Q3",0,0,0,0,4,0,0,0
"2020 Q4",2,0,0,0,0,0,0,0
"2021 Q1",0,0,0,0,0,0,0,0
"2021 Q2",0,0,0,0,5,0,0,0
"2021 Q3",1,1,0,0,7,1,0,0
"2021 Q4",0,0,0,0,0,0,0,0
"2022 Q1",0,0,0,0,0,0,0,0
"2022 Q2",0,0,0,0,3,0,0,0
"2022 Q3",0,0,0,0,2,0,0,0
"2022 Q4",1,0,0,0,0,0,0,0
"2023 Q1",0,0,0,0,0,0,0,0
"2023 Q2",1,3,1,1,4,1,0,0
"2023 Q3",2,0,0,0,8,0,0,0
"2023 Q4",4,0,0,0,0,0,0,0
