"year","dvrpc_total","njco_total","pasub_total","bucks_total","burlington_total","camden_total","chester_total","delaware_total","gloucester_total","mercer_total","montgomery_total","philadelphia_total","dvrpc_cumu_perc_chng","njco_cumu_perc_chng","pasub_cumu_perc_chng","bucks_cumu_perc_chng","burlington_cumu_perc_chng","camden_cumu_perc_chng","chester_cumu_perc_chng","delaware_cumu_perc_chng","gloucester_cumu_perc_chng","mercer_cumu_perc_chng","montgomery_cumu_perc_chng","philadelphia_cumu_perc_chng"
2005,43433.0,13232.0,20804.0,5399.0,3816.0,3953.0,4201.0,3993.0,2142.0,3321.0,7211.0,9397.0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2006,46170.0,14030.0,21350.0,5605.0,3904.0,4322.0,4424.0,4021.0,2159.0,3645.0,7300.0,10790.0,0.063,0.060,0.026,0.038,0.023,0.093,0.053,0.007,0.008,0.098,0.012,0.148
2007,46397.0,14378.0,21256.0,5484.0,4103.0,4398.0,4281.0,4170.0,2263.0,3614.0,7321.0,10763.0,0.068,0.087,0.022,0.016,0.075,0.113,0.019,0.044,0.056,0.088,0.015,0.145
2008,44435.0,13822.0,19940.0,5211.0,3927.0,4336.0,4104.0,3996.0,2096.0,3463.0,6629.0,10673.0,0.023,0.045,-0.042,-0.035,0.029,0.097,-0.023,0.001,-0.021,0.043,-0.081,0.136
2009,41788.0,12531.0,18789.0,4791.0,3470.0,3812.0,3866.0,3564.0,1860.0,3389.0,6568.0,10468.0,-0.038,-0.053,-0.097,-0.113,-0.091,-0.036,-0.080,-0.107,-0.132,0.020,-0.089,0.114
2010,42245.0,12936.0,18734.0,4818.0,3515.0,3946.0,3792.0,3710.0,1895.0,3580.0,6414.0,10575.0,-0.027,-0.022,-0.100,-0.108,-0.079,-0.002,-0.097,-0.071,-0.115,0.078,-0.111,0.125
2011,43545.0,13085.0,19305.0,4821.0,3618.0,3893.0,3924.0,3865.0,1854.0,3720.0,6695.0,11155.0,0.003,-0.011,-0.072,-0.107,-0.052,-0.015,-0.066,-0.032,-0.134,0.120,-0.072,0.187
2012,43423.0,12814.0,19236.0,4717.0,3510.0,3895.0,3837.0,3948.0,1831.0,3578.0,6734.0,11373.0,0.000,-0.032,-0.075,-0.126,-0.080,-0.015,-0.087,-0.011,-0.145,0.077,-0.066,0.210
2013,44344.0,13023.0,19588.0,4839.0,3655.0,3812.0,3929.0,3915.0,1884.0,3672.0,6905.0,11733.0,0.021,-0.016,-0.058,-0.104,-0.042,-0.036,-0.065,-0.020,-0.120,0.106,-0.042,0.249
2014,45003.0,12699.0,19234.0,4648.0,3576.0,3855.0,3830.0,4016.0,1815.0,3453.0,6740.0,13070.0,0.036,-0.040,-0.075,-0.139,-0.063,-0.025,-0.088,0.006,-0.153,0.040,-0.065,0.391
2015,47351.0,13003.0,20304.0,5086.0,3601.0,3918.0,4034.0,4080.0,1855.0,3629.0,7104.0,14044.0,0.090,-0.017,-0.024,-0.058,-0.056,-0.009,-0.040,0.022,-0.134,0.093,-0.015,0.495
2016,49773.0,13514.0,20625.0,5062.0,3704.0,4107.0,3993.0,4258.0,2032.0,3671.0,7312.0,15634.0,0.146,0.021,-0.009,-0.062,-0.029,0.039,-0.050,0.066,-0.051,0.105,0.014,0.664
2017,54595.0,14877.0,23037.0,5330.0,4084.0,4321.0,4338.0,4989.0,2099.0,4373.0,8380.0,16681.0,0.257,0.124,0.107,-0.013,0.070,0.093,0.033,0.249,-0.020,0.317,0.162,0.775
2018,59921.0,16718.0,24490.0,5780.0,4534.0,4740.0,4491.0,5137.0,2244.0,5200.0,9082.0,18713.0,0.380,0.263,0.177,0.071,0.188,0.199,0.069,0.287,0.048,0.566,0.259,0.991
2019,63428.0,16754.0,25114.0,5767.0,4732.0,5131.0,4598.0,5900.0,2268.0,4623.0,8849.0,21560.0,0.460,0.266,0.207,0.068,0.240,0.298,0.095,0.478,0.059,0.392,0.227,1.294
2020,86045.0,21227.0,29988.0,6293.0,5915.0,7073.0,4949.0,8388.0,2981.0,5258.0,10358.0,34830.0,0.981,0.604,0.441,0.166,0.550,0.789,0.178,1.101,0.392,0.583,0.436,2.707
2021,105874.0,27015.0,36485.0,7581.0,7617.0,8994.0,6105.0,10217.0,3826.0,6578.0,12582.0,42374.0,1.438,1.042,0.754,0.404,0.996,1.275,0.453,1.559,0.786,0.981,0.745,3.509
2022,85728.0,24576.0,31961.0,7284.0,6977.0,8030.0,5855.0,7798.0,3666.0,5903.0,11024.0,29191.0,0.974,0.857,0.536,0.349,0.828,1.031,0.394,0.953,0.711,0.777,0.529,2.106
2023,92201.0,26045.0,35351.0,8228.0,7703.0,8225.0,6649.0,8310.0,3977.0,6140.0,12164.0,30805.0,1.123,0.968,0.699,0.524,1.019,1.081,0.583,1.081,0.857,0.849,0.687,2.278
