year,DVRPC,New Jersey Suburbs,Pennsylvania Suburbs,Philadelphia Subregion,Bucks,Burlington,Camden,Chester,Delaware,Gloucester,Mercer,Montgomery,Philadelphia,DVRPC-total,New Jersey Suburbs-total,Pennsylvania Suburbs-total,Philadelphia Subregion-total,Bucks-total,Burlington-total,Camden-total,Chester-total,Delaware-total,Gloucester-total,Mercer-total,Montgomery-total,Philadelphia-total
2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,-0.002,0.011,-0.007,-0.009,0.001,0.022,0.005,-0.012,-0.005,0.021,0.003,-0.009,-0.009,-0.002,0.011,-0.007,-0.009,0.001,0.022,0.005,-0.012,-0.005,0.021,0.003,-0.009,-0.009
2003,0,0.017,-0.005,-0.008,0.011,0.015,0.01,0.011,-0.02,0.045,0.013,-0.014,-0.008,-0.002,0.028,-0.012,-0.017,0.012,0.037,0.015,-0.001,-0.025,0.068,0.016,-0.023,-0.017
2004,0.002,0.011,0.013,-0.028,0.02,0.016,0.025,0.03,-0.004,0.032,-0.014,0.01,-0.028,0,0.04,0.002,-0.045,0.033,0.053,0.04,0.029,-0.029,0.102,0.001,-0.013,-0.045
2005,0.013,0.021,0.014,0.004,0.025,0.013,0.004,0.034,-0.001,0.044,0.033,0.005,0.004,0.013,0.061,0.015,-0.041,0.059,0.067,0.044,0.063,-0.03,0.151,0.035,-0.008,-0.041
2006,0.009,0.015,0.009,0.001,0.009,0.013,0.01,0.018,0.002,0.011,0.022,0.008,0.001,0.022,0.077,0.024,-0.04,0.069,0.08,0.054,0.082,-0.028,0.163,0.058,-0.001,-0.04
2007,0.003,-0.006,0.011,-0.001,0.007,0.001,-0.011,0.024,0.011,-0.003,-0.01,0.006,-0.001,0.025,0.07,0.035,-0.04,0.076,0.081,0.043,0.108,-0.017,0.16,0.048,0.005,-0.04
2008,0,-0.003,0.001,0.002,-0.013,-0.014,-0.009,0.014,0.001,-0.013,0.018,0.003,0.002,0.025,0.067,0.037,-0.038,0.063,0.066,0.033,0.124,-0.016,0.145,0.067,0.008,-0.038
2009,-0.033,-0.033,-0.041,-0.018,-0.048,-0.024,-0.051,-0.034,-0.034,-0.031,-0.027,-0.044,-0.018,-0.009,0.031,-0.006,-0.055,0.012,0.04,-0.019,0.086,-0.05,0.109,0.039,-0.037,-0.055
2010,-0.005,-0.011,-0.008,0.006,-0.004,-0.019,-0.015,-0.006,0.005,-0.024,0.005,-0.017,0.006,-0.014,0.02,-0.014,-0.049,0.009,0.02,-0.034,0.08,-0.045,0.082,0.044,-0.053,-0.049
2011,0.002,-0.005,0.004,0.006,0,-0.005,-0.01,0.008,0.01,-0.013,0.003,0.001,0.006,-0.012,0.015,-0.01,-0.044,0.009,0.015,-0.044,0.089,-0.035,0.068,0.047,-0.052,-0.044
2012,0.005,0.007,0.007,0,-0.004,0.013,-0.003,-0.002,0.019,0.005,0.011,0.012,0,-0.007,0.022,-0.003,-0.044,0.004,0.029,-0.047,0.086,-0.017,0.073,0.058,-0.041,-0.044
2013,0.008,0.013,0.007,0.005,0.001,0.015,0.011,0.012,0.012,0.013,0.014,0.006,0.005,0.001,0.036,0.004,-0.039,0.005,0.044,-0.036,0.099,-0.006,0.088,0.074,-0.035,-0.039
2014,0.012,0.012,0.011,0.013,0.013,0.005,0.013,0.008,0.016,0.017,0.016,0.009,0.013,0.013,0.048,0.014,-0.027,0.018,0.049,-0.024,0.108,0.01,0.107,0.091,-0.027,-0.027
2015,0.011,0.009,0.011,0.015,0.016,0,0.002,0.014,0.004,0.028,0.013,0.011,0.015,0.024,0.057,0.026,-0.013,0.035,0.049,-0.022,0.123,0.014,0.138,0.105,-0.016,-0.013
2016,0.02,0.028,0.015,0.02,0.018,0.021,0.029,0.017,0.01,0.031,0.031,0.014,0.02,0.045,0.087,0.041,0.007,0.054,0.072,0.007,0.142,0.024,0.173,0.139,-0.003,0.007
2017,0.014,0.014,0.014,0.015,0.014,0.019,0.013,0.006,0.015,0.024,0.008,0.018,0.015,0.06,0.103,0.056,0.022,0.069,0.092,0.02,0.15,0.039,0.2,0.148,0.015,0.022
