"year","region_total","region_wage_salary","region_proprietors","nj_cos_total","nj_cos_wage_salary","nj_cos_proprietors","pa_sub_cos_total","pa_sub_cos_wage_salary","pa_sub_cos_proprietors","bucks_total","bucks_wage_salary","bucks_proprietors","burlington_total","burlington_wage_salary","burlington_proprietors","camden_total","camden_wage_salary","camden_proprietors","chester_total","chester_wage_salary","chester_proprietors","gloucester_total","gloucester_wage_salary","gloucester_proprietors","delaware_total","delaware_wage_salary","delaware_proprietors","mercer_total","mercer_wage_salary","mercer_proprietors","montgomery_total","montgomery_wage_salary","montgomery_proprietors","philadelphia_total","philadelphia_wage_salary","philadelphia_proprietors"
2001,3107690.0,2696910.0,410780.0,854853.0,735272.0,119581.0,1481438.0,1247626.0,233812.0,323689.0,265542.0,58147.0,239501.0,204803.0,34698.0,253103.0,216280.0,36823.0,283391.0,235857.0,47534.0,114679.0,96942.0,17737.0,272285.0,229010.0,43275.0,247570.0,217247.0,30323.0,602073.0,517217.0,84856.0,771399.0,714012.0,57387.0
2002,3112332.0,2690123.0,422209.0,865780.0,742246.0,123534.0,1481170.0,1242240.0,238930.0,326646.0,267189.0,59457.0,243947.0,207952.0,35995.0,254952.0,217153.0,37799.0,283950.0,234874.0,49076.0,117419.0,99050.0,18369.0,270484.0,226647.0,43837.0,249462.0,218091.0,31371.0,600090.0,513530.0,86560.0,765382.0,705637.0,59745.0
2003,3126901.0,2684242.0,442659.0,882564.0,753042.0,129522.0,1482608.0,1233520.0,249088.0,330197.0,267897.0,62300.0,250315.0,212036.0,38279.0,257468.0,218370.0,39098.0,286710.0,235166.0,51544.0,122140.0,102766.0,19374.0,270136.0,224521.0,45615.0,252641.0,219870.0,32771.0,595565.0,505936.0,89629.0,761729.0,697680.0,64049.0
2004,3167459.0,2696288.0,471171.0,905706.0,767050.0,138656.0,1510076.0,1245543.0,264533.0,338346.0,271949.0,66397.0,257087.0,216045.0,41042.0,264390.0,222601.0,41789.0,294472.0,239520.0,54952.0,126237.0,105481.0,20756.0,271829.0,223646.0,48183.0,257992.0,222923.0,35069.0,605429.0,510428.0,95001.0,751677.0,683695.0,67982.0
2005,3224838.0,2726677.0,498161.0,922869.0,776465.0,146404.0,1540703.0,1262931.0,277772.0,348438.0,278934.0,69504.0,263309.0,219947.0,43362.0,268374.0,224401.0,43973.0,305832.0,247487.0,58345.0,131463.0,108943.0,22520.0,274399.0,224134.0,50265.0,259723.0,223174.0,36549.0,612034.0,512376.0,99658.0,761266.0,687281.0,73985.0
2006,3277150.0,2755298.0,521852.0,939295.0,787321.0,151974.0,1568303.0,1278507.0,289796.0,354531.0,282335.0,72196.0,268931.0,223751.0,45180.0,270562.0,224865.0,45697.0,314680.0,253303.0,61377.0,134376.0,110621.0,23755.0,278297.0,225624.0,52673.0,265426.0,228084.0,37342.0,620795.0,517245.0,103550.0,769552.0,689470.0,80082.0
2007,3322789.0,2761803.0,560986.0,942668.0,781172.0,161496.0,1602560.0,1292305.0,310255.0,361924.0,284835.0,77089.0,270479.0,222733.0,47746.0,271640.0,223082.0,48558.0,325694.0,259599.0,66095.0,135770.0,110268.0,25502.0,284414.0,227455.0,56959.0,264779.0,225089.0,39690.0,630528.0,520416.0,110112.0,777561.0,688326.0,89235.0
2008,3336137.0,2761038.0,575099.0,940572.0,777433.0,163139.0,1612333.0,1293736.0,318597.0,358913.0,280898.0,78015.0,268631.0,220194.0,48437.0,270291.0,221313.0,48978.0,330051.0,262242.0,67809.0,135852.0,110390.0,25462.0,286401.0,227956.0,58445.0,265798.0,225536.0,40262.0,636968.0,522640.0,114328.0,783232.0,689869.0,93363.0
2009,3259719.0,2670804.0,588915.0,915380.0,750045.0,165335.0,1569939.0,1243174.0,326765.0,347981.0,268435.0,79546.0,263746.0,214660.0,49086.0,259884.0,210695.0,49189.0,323481.0,253749.0,69732.0,132635.0,106793.0,25842.0,281084.0,221136.0,59948.0,259115.0,217897.0,41218.0,617393.0,499854.0,117539.0,774400.0,677585.0,96815.0
2010,3259810.0,2659301.0,600509.0,905971.0,740469.0,165502.0,1567865.0,1236117.0,331748.0,348614.0,268191.0,80423.0,259455.0,210745.0,48710.0,256713.0,207708.0,49005.0,323452.0,252982.0,70470.0,129697.0,104201.0,25496.0,283608.0,222457.0,61151.0,260106.0,217815.0,42291.0,612191.0,492487.0,119704.0,785974.0,682715.0,103259.0
2011,3297120.0,2667196.0,629924.0,910094.0,737016.0,173078.0,1588311.0,1243291.0,345020.0,351540.0,268080.0,83460.0,260998.0,210519.0,50479.0,256945.0,205824.0,51121.0,328069.0,255536.0,72533.0,129240.0,102750.0,26490.0,289625.0,224929.0,64696.0,262911.0,217923.0,44988.0,619077.0,494746.0,124331.0,798715.0,686889.0,111826.0
2012,3321006.0,2687934.0,633072.0,914389.0,742035.0,172354.0,1601684.0,1256889.0,344795.0,350374.0,267122.0,83252.0,264501.0,214482.0,50019.0,256279.0,205490.0,50789.0,330159.0,257440.0,72719.0,129640.0,103299.0,26341.0,295031.0,229975.0,65056.0,263969.0,218764.0,45205.0,626120.0,502352.0,123768.0,804933.0,689010.0,115923.0
2013,3365736.0,2711025.0,654711.0,924143.0,746790.0,177353.0,1625639.0,1270089.0,355550.0,353571.0,267584.0,85987.0,264768.0,213324.0,51444.0,259821.0,208144.0,51677.0,336028.0,261346.0,74682.0,132122.0,104836.0,27286.0,301854.0,234081.0,67773.0,267432.0,220486.0,46946.0,634186.0,507078.0,127108.0,815954.0,694146.0,121808.0
2014,3423597.0,2748998.0,674599.0,938285.0,756686.0,181599.0,1651096.0,1287716.0,363380.0,359648.0,271358.0,88290.0,266925.0,214448.0,52477.0,264136.0,211067.0,53069.0,340297.0,264450.0,75847.0,134582.0,106761.0,27821.0,307361.0,238514.0,68847.0,272642.0,224410.0,48232.0,643790.0,513394.0,130396.0,834216.0,704596.0,129620.0
2015,3479620.0,2785620.0,694000.0,953090.0,768023.0,185067.0,1675331.0,1301685.0,373646.0,365163.0,274843.0,90320.0,272946.0,219427.0,53519.0,265979.0,211488.0,54491.0,346145.0,268357.0,77788.0,137919.0,109286.0,28633.0,310392.0,239106.0,71286.0,276246.0,227822.0,48424.0,653631.0,519379.0,134252.0,851199.0,715912.0,135287.0
2016,3563127.0,2840529.0,722598.0,975920.0,787693.0,188227.0,1710158.0,1322173.0,387985.0,372785.0,279766.0,93019.0,278609.0,223544.0,55065.0,271723.0,216969.0,54754.0,355818.0,274435.0,81383.0,142680.0,112607.0,30073.0,315739.0,241162.0,74577.0,282908.0,234573.0,48335.0,665816.0,526810.0,139006.0,877049.0,730663.0,146386.0
2017,3617143.0,2883940.0,733203.0,988383.0,798805.0,189578.0,1731815.0,1342927.0,388888.0,377280.0,284811.0,92469.0,283559.0,228180.0,55379.0,275205.0,220100.0,55105.0,357807.0,276028.0,81779.0,145976.0,115152.0,30824.0,321142.0,245131.0,76011.0,283643.0,235373.0,48270.0,675586.0,536957.0,138629.0,896945.0,742208.0,154737.0
2018,3681608.0,2921849.0,759759.0,1001480.0,804865.0,196615.0,1755177.0,1355527.0,399650.0,382872.0,288318.0,94554.0,282179.0,224817.0,57362.0,278728.0,221319.0,57409.0,361817.0,277407.0,84410.0,150265.0,118397.0,31868.0,327206.0,248239.0,78967.0,290308.0,240332.0,49976.0,683282.0,541563.0,141719.0,924951.0,761457.0,163494.0
2019,3706766.0,2967283.0,739483.0,1009669.0,816600.0,193069.0,1756493.0,1375435.0,381058.0,380686.0,291156.0,89530.0,279997.0,225219.0,54778.0,280268.0,222245.0,58023.0,360327.0,280027.0,80300.0,152850.0,121893.0,30957.0,327782.0,251412.0,76370.0,296554.0,247243.0,49311.0,687698.0,552840.0,134858.0,940604.0,775248.0,165356.0
2020,3546307.0,2759897.0,786410.0,971876.0,764924.0,206952.0,1684046.0,1276941.0,407105.0,361520.0,265284.0,96236.0,272120.0,213012.0,59108.0,264917.0,203228.0,61689.0,348082.0,262186.0,85896.0,148110.0,114787.0,33323.0,312152.0,231372.0,80780.0,286729.0,233897.0,52832.0,662292.0,518099.0,144193.0,890385.0,718032.0,172353.0
2021,3691811.0,2851212.0,840599.0,1017159.0,794802.0,222357.0,1760213.0,1327560.0,432653.0,376967.0,276202.0,100765.0,285595.0,222550.0,63045.0,278160.0,210649.0,67511.0,362688.0,271021.0,91667.0,157157.0,121765.0,35392.0,324363.0,237676.0,86687.0,296247.0,239838.0,56409.0,696195.0,542661.0,153534.0,914439.0,728850.0,185589.0
2022,3890318.0,2988031.0,902287.0,1073655.0,834769.0,238886.0,1849417.0,1383258.0,466159.0,398446.0,290133.0,108313.0,299415.0,231559.0,67856.0,293883.0,221396.0,72487.0,380580.0,281802.0,98778.0,168872.0,130828.0,38044.0,338500.0,245409.0,93091.0,311485.0,250986.0,60499.0,731891.0,565914.0,165977.0,967246.0,770004.0,197242.0
